Symbol,Date,Open,High,Low,Close,Percent Change,Volume
NEPSE,30-06-24,2051.73,2059.79,2034.5,2037.09,-0.72%,"3,607,198,407.66"
NEPSE,01-07-24,2038.7,2053.38,2030.38,2053.38,0.80%,"2,999,965,021.53"
NEPSE,02-07-24,2085.83,2162.49,2085.82,2100.43,2.29%,"4,576,831,720.09"
NEPSE,03-07-24,2101.84,2104.38,2076.95,2104.22,0.18%,"5,083,528,935.17"
NEPSE,04-07-24,2107.78,2129.37,2105.83,2119.69,0.73%,"6,482,546,980.64"
NEPSE,07-07-24,2122,2147.12,2121.26,2140.97,1.00%,"6,002,931,854.71"
NEPSE,08-07-24,2143.95,2149.19,2128.72,2136.35,-0.21%,"4,569,836,106.00"
NEPSE,09-07-24,2138.61,2152.24,2129.71,2152.14,0.73%,"5,535,958,885.31"
NEPSE,10-07-24,2162.87,2176.6,2160.63,2175.4,1.08%,"5,744,083,391.51"
NEPSE,11-07-24,2188.64,2205.15,2185.02,2204.61,1.34%,"7,080,698,146.05"
NEPSE,14-07-24,2239.41,2290.95,2230.5,2257.59,2.40%,"7,620,498,520.87"
NEPSE,15-07-24,2277.86,2288.16,2231.69,2240.41,-0.76%,"8,731,436,037.15"
NEPSE,16-07-24,2243.07,2310.84,2231.83,2310.59,3.13%,"9,114,401,552.61"
NEPSE,17-07-24,2323.68,2364.76,2311.93,2364.63,2.33%,"12,059,266,113.47"
NEPSE,18-07-24,2373.53,2459.94,2355.59,2424.32,2.52%,"15,548,800,738.21"
NEPSE,21-07-24,2431.49,2494.71,2408.25,2485.94,2.54%,"15,238,271,290.98"
NEPSE,22-07-24,2491.17,2504.53,2441.56,2488.09,0.08%,"13,915,535,440.98"
NEPSE,23-07-24,2493.92,2563.45,2469.56,2563.43,3.02%,"14,116,330,995.76"
NEPSE,24-07-24,2573.23,2600.41,2513.43,2536.11,-1.06%,"16,208,577,314.53"
NEPSE,25-07-24,2540.14,2572.88,2518.47,2568.11,1.26%,"14,137,899,049.28"
NEPSE,28-07-24,2606.42,2708.58,2606.4,2681.56,4.41%,"15,810,596,235.45"
NEPSE,29-07-24,2706.73,2737.68,2655.15,2661.09,-0.76%,"19,609,177,106.29"
